 time (at Rp)  nbod    mass/mp
  0.16800E+09    40   0.60333E-04
  0.16900E+09    40   0.61831E-04
  0.17000E+09    41   0.62328E-04
  0.17100E+09    40   0.62381E-04
  0.17200E+09    39   0.62381E-04
  0.17300E+09    40   0.62703E-04
  0.17400E+09    40   0.62749E-04
  0.17500E+09    41   0.62782E-04
  0.17600E+09    40   0.62782E-04
  0.17700E+09    41   0.62809E-04
  0.17800E+09    42   0.62983E-04
  0.17900E+09    43   0.63010E-04
  0.18000E+09    43   0.63010E-04
  0.18100E+09    42   0.63118E-04
  0.18200E+09    42   0.63545E-04
  0.18300E+09    41   0.64756E-04
  0.18400E+09    41   0.64756E-04
  0.18500E+09    40   0.64810E-04
  0.18600E+09    40   0.64845E-04
  0.18700E+09    40   0.64960E-04
  0.18800E+09    39   0.64960E-04
  0.18900E+09    40   0.65543E-04
  0.19000E+09    40   0.61888E-04
  0.19100E+09    41   0.61941E-04
  0.19200E+09    39   0.61941E-04
  0.19300E+09    39   0.62028E-04
  0.19400E+09    40   0.62185E-04
  0.19500E+09    40   0.62185E-04
  0.19600E+09    40   0.62212E-04
  0.19700E+09    40   0.63204E-04
  0.19800E+09    39   0.54684E-04
  0.19900E+09    40   0.56564E-04
  0.20000E+09    40   0.56721E-04
  0.20100E+09    40   0.56721E-04
  0.20200E+09    41   0.56760E-04
  0.20300E+09    40   0.58640E-04
  0.20400E+09    39   0.58640E-04
  0.20500E+09    40   0.58922E-04
  0.20600E+09    41   0.58975E-04
  0.20700E+09    42   0.59071E-04
  0.20800E+09    40   0.59071E-04
  0.20900E+09    41   0.59106E-04
  0.21000E+09    42   0.59475E-04
  0.21100E+09    41   0.59475E-04
  0.21200E+09    42   0.59496E-04
  0.21300E+09    43   0.59575E-04
  0.21400E+09    43   0.59575E-04
  0.21500E+09    42   0.60003E-04
  0.21600E+09    42   0.60159E-04
  0.21700E+09    42   0.60159E-04
  0.21800E+09    43   0.60481E-04
  0.21900E+09    42   0.60518E-04
  0.22000E+09    41   0.60518E-04
  0.22100E+09    42   0.61101E-04
  0.22200E+09    43   0.61216E-04
  0.22300E+09    44   0.61235E-04
  0.22400E+09    41   0.56844E-04
  0.22500E+09    42   0.56877E-04
  0.22600E+09    42   0.57199E-04
  0.22700E+09    40   0.57199E-04
  0.22800E+09    41   0.57245E-04
  0.22900E+09    42   0.57385E-04
  0.23000E+09    42   0.57385E-04
  0.23100E+09    43   0.57405E-04
  0.23200E+09    43   0.57435E-04
  0.23300E+09    42   0.50436E-04
  0.23400E+09    43   0.51429E-04
  0.23500E+09    43   0.51448E-04
  0.23600E+09    42   0.51448E-04
  0.23700E+09    43   0.52031E-04
  0.23800E+09    44   0.52720E-04
  0.23900E+09    43   0.52720E-04
  0.24000E+09    44   0.52861E-04
  0.24100E+09    44   0.52901E-04
  0.24200E+09    45   0.53096E-04
  0.24300E+09    43   0.45441E-04
  0.24400E+09    42   0.45763E-04
  0.24500E+09    42   0.45806E-04
  0.24600E+09    41   0.45806E-04
  0.24700E+09    42   0.45933E-04
  0.24800E+09    43   0.46090E-04
  0.24900E+09    42   0.46090E-04
  0.25000E+09    43   0.46672E-04
  0.25100E+09    43   0.46752E-04
  0.25200E+09    42   0.46752E-04
  0.25300E+09    43   0.46820E-04
  0.25400E+09    44   0.46860E-04
  0.25500E+09    42   0.46820E-04
  0.25600E+09    43   0.46857E-04
  0.25700E+09    43   0.46944E-04
  0.25800E+09    44   0.47164E-04
  0.25900E+09    44   0.47164E-04
  0.26000E+09    44   0.47446E-04
  0.26100E+09    45   0.48438E-04
  0.26200E+09    44   0.48438E-04
  0.26300E+09    45   0.48634E-04
  0.26400E+09    45   0.48829E-04
  0.26500E+09    45   0.48829E-04
  0.26600E+09    46   0.48848E-04
  0.26700E+09    47   0.49538E-04
  0.26800E+09    47   0.49538E-04
  0.26900E+09    47   0.49611E-04
  0.27000E+09    47   0.50194E-04
  0.27100E+09    47   0.50194E-04
  0.27200E+09    48   0.50213E-04
  0.27300E+09    47   0.50242E-04
  0.27400E+09    47   0.50242E-04
  0.27500E+09    45   0.49703E-04
  0.27600E+09    45   0.49764E-04
  0.27700E+09    46   0.50046E-04
  0.27800E+09    46   0.50046E-04
  0.27900E+09    45   0.50065E-04
  0.28000E+09    44   0.50108E-04
  0.28100E+09    43   0.50108E-04
  0.28200E+09    43   0.50605E-04
  0.28300E+09    44   0.53005E-04
  0.28400E+09    43   0.53005E-04
  0.28500E+09    43   0.46223E-04
  0.28600E+09    44   0.46245E-04
  0.28700E+09    44   0.46245E-04
  0.28800E+09    45   0.46282E-04
  0.28900E+09    45   0.46282E-04
  0.29000E+09    46   0.48162E-04
  0.29100E+09    46   0.48851E-04
  0.29200E+09    46   0.48851E-04
  0.29300E+09    47   0.48992E-04
  0.29400E+09    45   0.49662E-04
  0.29500E+09    45   0.49662E-04
  0.29600E+09    46   0.49789E-04
  0.29700E+09    45   0.49789E-04
  0.29800E+09    44   0.50037E-04
  0.29900E+09    44   0.52438E-04
  0.30000E+09    44   0.52438E-04
  0.30100E+09    43   0.52495E-04
  0.30200E+09    43   0.52514E-04
  0.30300E+09    43   0.52514E-04
  0.30400E+09    44   0.53097E-04
  0.30500E+09    43   0.53097E-04
  0.30600E+09    44   0.54595E-04
  0.30700E+09    45   0.54682E-04
  0.30800E+09    44   0.49366E-04
  0.30900E+09    45   0.50055E-04
  0.31000E+09    44   0.50055E-04
  0.31100E+09    44   0.50112E-04
  0.31200E+09    45   0.51992E-04
  0.31300E+09    45   0.51992E-04
  0.31400E+09    46   0.52240E-04
  0.31500E+09    46   0.52273E-04
  0.31600E+09    46   0.52273E-04
  0.31700E+09    45   0.46983E-04
  0.31800E+09    44   0.46983E-04
  0.31900E+09    44   0.47480E-04
  0.32000E+09    45   0.47554E-04
  0.32100E+09    44   0.47554E-04
  0.32200E+09    44   0.47836E-04
  0.32300E+09    44   0.48419E-04
  0.32400E+09    43   0.48419E-04
  0.32500E+09    43   0.48638E-04
  0.32600E+09    43   0.48638E-04
  0.32700E+09    44   0.50518E-04
  0.32800E+09    44   0.50738E-04
  0.32900E+09    43   0.50738E-04
  0.33000E+09    44   0.50787E-04
  0.33100E+09    44   0.50787E-04
  0.33200E+09    45   0.51007E-04
  0.33300E+09    46   0.51061E-04
  0.33400E+09    46   0.51061E-04
  0.33500E+09    46   0.51080E-04
  0.33600E+09    47   0.51254E-04
  0.33700E+09    45   0.51254E-04
  0.33800E+09    45   0.51334E-04
  0.33900E+09    44   0.51334E-04
  0.34000E+09    44   0.51353E-04
  0.34100E+09    45   0.51393E-04
  0.34200E+09    42   0.51393E-04
  0.34300E+09    43   0.53794E-04
  0.34400E+09    44   0.53935E-04
  0.34500E+09    44   0.53935E-04
  0.34600E+09    45   0.53974E-04
  0.34700E+09    45   0.53974E-04
  0.34800E+09    45   0.56375E-04
  0.34900E+09    43   0.56502E-04
  0.35000E+09    41   0.56502E-04
  0.35100E+09    40   0.56526E-04
  0.35200E+09    39   0.56561E-04
  0.35300E+09    39   0.56561E-04
  0.35400E+09    39   0.56666E-04
  0.35500E+09    39   0.56666E-04
  0.35600E+09    39   0.56691E-04
  0.35700E+09    40   0.56741E-04
  0.35800E+09    39   0.56741E-04
  0.35900E+09    40   0.56836E-04
  0.36000E+09    39   0.56836E-04
  0.36100E+09    40   0.56941E-04
  0.36200E+09    41   0.56966E-04
  0.36300E+09    41   0.56966E-04
  0.36400E+09    41   0.57034E-04
  0.36500E+09    41   0.57055E-04
  0.36600E+09    40   0.57055E-04
  0.36700E+09    40   0.57108E-04
  0.36800E+09    40   0.57108E-04
  0.36900E+09    40   0.57158E-04
  0.37000E+09    40   0.56464E-04
  0.37100E+09    39   0.56464E-04
  0.37200E+09    39   0.56544E-04
  0.37300E+09    39   0.56584E-04
  0.37400E+09    39   0.56584E-04
  0.37500E+09    40   0.56699E-04
  0.37600E+09    39   0.56699E-04
  0.37700E+09    40   0.56732E-04
  0.37800E+09    40   0.57315E-04
  0.37900E+09    38   0.57315E-04
  0.38000E+09    39   0.57410E-04
  0.38100E+09    37   0.57410E-04
  0.38200E+09    38   0.58233E-04
  0.38300E+09    38   0.58253E-04
  0.38400E+09    35   0.51570E-04
  0.38500E+09    36   0.51597E-04
  0.38600E+09    36   0.51597E-04
  0.38700E+09    37   0.52420E-04
  0.38800E+09    37   0.52420E-04
  0.38900E+09    38   0.54300E-04
  0.39000E+09    36   0.54300E-04
