 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.12419E-08   0.34516E-06
  0.95173E+08   0.11237E-08   0.31960E-06
  0.19035E+09   0.10168E-08   0.29594E-06
  0.28552E+09   0.92005E-09   0.27403E-06
  0.38069E+09   0.83249E-09   0.25374E-06
  0.47587E+09   0.75327E-09   0.23495E-06
  0.57104E+09   0.68159E-09   0.21756E-06
  0.66621E+09   0.61673E-09   0.20145E-06
  0.76139E+09   0.55804E-09   0.18654E-06
  0.85656E+09   0.50493E-09   0.17273E-06
  0.95173E+09   0.45688E-09   0.15994E-06
  0.10469E+10   0.41340E-09   0.14810E-06
  0.11421E+10   0.37406E-09   0.13713E-06
  0.12373E+10   0.33847E-09   0.12698E-06
  0.13324E+10   0.30626E-09   0.11758E-06
  0.14276E+10   0.27711E-09   0.10887E-06
  0.15228E+10   0.25074E-09   0.10081E-06
  0.16179E+10   0.22688E-09   0.93346E-07
  0.17131E+10   0.20529E-09   0.86435E-07
  0.18083E+10   0.18575E-09   0.80036E-07
  0.19035E+10   0.16808E-09   0.74110E-07
  0.19986E+10   0.15208E-09   0.68623E-07
  0.20938E+10   0.13761E-09   0.63542E-07
  0.21890E+10   0.12451E-09   0.58837E-07
  0.22842E+10   0.11267E-09   0.54481E-07
  0.23793E+10   0.10194E-09   0.50447E-07
  0.24745E+10   0.92243E-10   0.46712E-07
  0.25697E+10   0.83465E-10   0.43254E-07
  0.26649E+10   0.75522E-10   0.40051E-07
  0.27600E+10   0.68335E-10   0.37086E-07
  0.28552E+10   0.61832E-10   0.34340E-07
  0.29504E+10   0.55948E-10   0.31798E-07
  0.30455E+10   0.50624E-10   0.29443E-07
  0.31407E+10   0.45806E-10   0.27263E-07
  0.32359E+10   0.41447E-10   0.25245E-07
  0.33311E+10   0.37503E-10   0.23376E-07
  0.34262E+10   0.33934E-10   0.21645E-07
  0.35214E+10   0.30705E-10   0.20043E-07
  0.36166E+10   0.27783E-10   0.18559E-07
  0.37118E+10   0.25139E-10   0.17185E-07
  0.38069E+10   0.22747E-10   0.15912E-07
  0.39021E+10   0.20582E-10   0.14734E-07
  0.39973E+10   0.18624E-10   0.13643E-07
  0.40925E+10   0.16851E-10   0.12633E-07
  0.41876E+10   0.15248E-10   0.11698E-07
  0.42828E+10   0.13797E-10   0.10832E-07
  0.43780E+10   0.12484E-10   0.10030E-07
  0.44731E+10   0.11296E-10   0.92871E-08
  0.45683E+10   0.10221E-10   0.85995E-08
  0.46635E+10   0.92482E-11   0.79628E-08
  0.47587E+10   0.83681E-11   0.73732E-08
  0.48538E+10   0.75718E-11   0.68273E-08
  0.49490E+10   0.68512E-11   0.63218E-08
  0.50442E+10   0.61992E-11   0.58538E-08
  0.51394E+10   0.56093E-11   0.54204E-08
  0.52345E+10   0.50755E-11   0.50191E-08
  0.53297E+10   0.45925E-11   0.46475E-08
  0.54249E+10   0.41555E-11   0.43034E-08
  0.55201E+10   0.37600E-11   0.39847E-08
  0.56152E+10   0.34022E-11   0.36897E-08
  0.57104E+10   0.30785E-11   0.34165E-08
  0.58056E+10   0.27855E-11   0.31636E-08
  0.59007E+10   0.25204E-11   0.29294E-08
  0.59959E+10   0.22806E-11   0.27125E-08
  0.60911E+10   0.20636E-11   0.25116E-08
  0.61863E+10   0.18672E-11   0.23257E-08
  0.62814E+10   0.16895E-11   0.21535E-08
  0.63766E+10   0.15287E-11   0.19940E-08
  0.64718E+10   0.13832E-11   0.18464E-08
  0.65670E+10   0.12516E-11   0.17097E-08
  0.66621E+10   0.11325E-11   0.15831E-08
  0.67573E+10   0.10247E-11   0.14659E-08
  0.68525E+10   0.92721E-12   0.13574E-08
  0.69477E+10   0.83898E-12   0.12569E-08
  0.70428E+10   0.75914E-12   0.11638E-08
  0.71380E+10   0.68690E-12   0.10776E-08
  0.72332E+10   0.62153E-12   0.99786E-09
  0.73283E+10   0.56238E-12   0.92398E-09
  0.74235E+10   0.50887E-12   0.85557E-09
  0.75187E+10   0.46044E-12   0.79222E-09
  0.76139E+10   0.41662E-12   0.73357E-09
  0.77090E+10   0.37698E-12   0.67926E-09
  0.78042E+10   0.34110E-12   0.62897E-09
  0.78994E+10   0.30864E-12   0.58240E-09
  0.79946E+10   0.27927E-12   0.53928E-09
  0.80897E+10   0.25270E-12   0.49935E-09
  0.81849E+10   0.22865E-12   0.46238E-09
  0.82801E+10   0.20689E-12   0.42814E-09
  0.83753E+10   0.18720E-12   0.39645E-09
  0.84704E+10   0.16939E-12   0.36709E-09
  0.85656E+10   0.15327E-12   0.33991E-09
  0.86608E+10   0.13868E-12   0.31475E-09
  0.87559E+10   0.12548E-12   0.29144E-09
  0.88511E+10   0.11354E-12   0.26987E-09
  0.89463E+10   0.10274E-12   0.24988E-09
  0.90415E+10   0.92962E-13   0.23138E-09
  0.91366E+10   0.84115E-13   0.21425E-09
  0.92318E+10   0.76110E-13   0.19839E-09
  0.93270E+10   0.68868E-13   0.18370E-09
  0.94222E+10   0.62314E-13   0.17010E-09
  0.95173E+10   0.56384E-13   0.15751E-09
  0.96125E+10   0.51018E-13   0.14584E-09
  0.97077E+10   0.46163E-13   0.13505E-09
  0.98029E+10   0.41770E-13   0.12505E-09
  0.98980E+10   0.37795E-13   0.11579E-09
  0.99932E+10   0.34199E-13   0.10722E-09
