 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.10370E-08   0.46544E-06
  0.95173E+08   0.93833E-09   0.43098E-06
  0.19035E+09   0.84903E-09   0.39907E-06
  0.28552E+09   0.76824E-09   0.36953E-06
  0.38069E+09   0.69513E-09   0.34217E-06
  0.47587E+09   0.62898E-09   0.31683E-06
  0.57104E+09   0.56913E-09   0.29338E-06
  0.66621E+09   0.51497E-09   0.27165E-06
  0.76139E+09   0.46596E-09   0.25154E-06
  0.85656E+09   0.42162E-09   0.23292E-06
  0.95173E+09   0.38150E-09   0.21567E-06
  0.10469E+10   0.34519E-09   0.19970E-06
  0.11421E+10   0.31234E-09   0.18492E-06
  0.12373E+10   0.28262E-09   0.17123E-06
  0.13324E+10   0.25572E-09   0.15855E-06
  0.14276E+10   0.23139E-09   0.14681E-06
  0.15228E+10   0.20937E-09   0.13594E-06
  0.16179E+10   0.18945E-09   0.12588E-06
  0.17131E+10   0.17142E-09   0.11656E-06
  0.18083E+10   0.15510E-09   0.10793E-06
  0.19035E+10   0.14034E-09   0.99936E-07
  0.19986E+10   0.12699E-09   0.92537E-07
  0.20938E+10   0.11490E-09   0.85685E-07
  0.21890E+10   0.10397E-09   0.79341E-07
  0.22842E+10   0.94076E-10   0.73467E-07
  0.23793E+10   0.85123E-10   0.68028E-07
  0.24745E+10   0.77023E-10   0.62991E-07
  0.25697E+10   0.69693E-10   0.58327E-07
  0.26649E+10   0.63061E-10   0.54009E-07
  0.27600E+10   0.57060E-10   0.50010E-07
  0.28552E+10   0.51630E-10   0.46307E-07
  0.29504E+10   0.46717E-10   0.42879E-07
  0.30455E+10   0.42271E-10   0.39704E-07
  0.31407E+10   0.38248E-10   0.36764E-07
  0.32359E+10   0.34609E-10   0.34042E-07
  0.33311E+10   0.31315E-10   0.31522E-07
  0.34262E+10   0.28335E-10   0.29188E-07
  0.35214E+10   0.25639E-10   0.27027E-07
  0.36166E+10   0.23199E-10   0.25026E-07
  0.37118E+10   0.20991E-10   0.23173E-07
  0.38069E+10   0.18994E-10   0.21457E-07
  0.39021E+10   0.17186E-10   0.19869E-07
  0.39973E+10   0.15551E-10   0.18398E-07
  0.40925E+10   0.14071E-10   0.17036E-07
  0.41876E+10   0.12732E-10   0.15774E-07
  0.42828E+10   0.11520E-10   0.14606E-07
  0.43780E+10   0.10424E-10   0.13525E-07
  0.44731E+10   0.94320E-11   0.12524E-07
  0.45683E+10   0.85344E-11   0.11596E-07
  0.46635E+10   0.77222E-11   0.10738E-07
  0.47587E+10   0.69874E-11   0.99427E-08
  0.48538E+10   0.63224E-11   0.92066E-08
  0.49490E+10   0.57208E-11   0.85249E-08
  0.50442E+10   0.51764E-11   0.78937E-08
  0.51394E+10   0.46838E-11   0.73093E-08
  0.52345E+10   0.42381E-11   0.67681E-08
  0.53297E+10   0.38347E-11   0.62670E-08
  0.54249E+10   0.34698E-11   0.58030E-08
  0.55201E+10   0.31396E-11   0.53734E-08
  0.56152E+10   0.28409E-11   0.49755E-08
  0.57104E+10   0.25705E-11   0.46071E-08
  0.58056E+10   0.23259E-11   0.42660E-08
  0.59007E+10   0.21046E-11   0.39502E-08
  0.59959E+10   0.19043E-11   0.36577E-08
  0.60911E+10   0.17231E-11   0.33869E-08
  0.61863E+10   0.15591E-11   0.31361E-08
  0.62814E+10   0.14107E-11   0.29039E-08
  0.63766E+10   0.12765E-11   0.26889E-08
  0.64718E+10   0.11550E-11   0.24899E-08
  0.65670E+10   0.10451E-11   0.23055E-08
  0.66621E+10   0.94564E-12   0.21348E-08
  0.67573E+10   0.85565E-12   0.19768E-08
  0.68525E+10   0.77422E-12   0.18304E-08
  0.69477E+10   0.70055E-12   0.16949E-08
  0.70428E+10   0.63388E-12   0.15694E-08
  0.71380E+10   0.57356E-12   0.14532E-08
  0.72332E+10   0.51898E-12   0.13456E-08
  0.73283E+10   0.46959E-12   0.12460E-08
  0.74235E+10   0.42490E-12   0.11537E-08
  0.75187E+10   0.38447E-12   0.10683E-08
  0.76139E+10   0.34788E-12   0.98921E-09
  0.77090E+10   0.31478E-12   0.91597E-09
  0.78042E+10   0.28482E-12   0.84815E-09
  0.78994E+10   0.25772E-12   0.78535E-09
  0.79946E+10   0.23319E-12   0.72721E-09
  0.80897E+10   0.21100E-12   0.67337E-09
  0.81849E+10   0.19092E-12   0.62351E-09
  0.82801E+10   0.17275E-12   0.57735E-09
  0.83753E+10   0.15631E-12   0.53460E-09
  0.84704E+10   0.14144E-12   0.49502E-09
  0.85656E+10   0.12798E-12   0.45837E-09
  0.86608E+10   0.11580E-12   0.42443E-09
  0.87559E+10   0.10478E-12   0.39301E-09
  0.88511E+10   0.94809E-13   0.36391E-09
  0.89463E+10   0.85787E-13   0.33697E-09
  0.90415E+10   0.77623E-13   0.31202E-09
  0.91366E+10   0.70236E-13   0.28892E-09
  0.92318E+10   0.63552E-13   0.26752E-09
  0.93270E+10   0.57504E-13   0.24772E-09
  0.94222E+10   0.52032E-13   0.22938E-09
  0.95173E+10   0.47081E-13   0.21239E-09
  0.96125E+10   0.42600E-13   0.19667E-09
  0.97077E+10   0.38546E-13   0.18211E-09
  0.98029E+10   0.34878E-13   0.16862E-09
  0.98980E+10   0.31559E-13   0.15614E-09
