 time (at Rp)  nbod    mass/mp
  0.16800E+09    62   0.46675E-04
  0.16900E+09    61   0.46700E-04
  0.17000E+09    61   0.48198E-04
  0.17100E+09    62   0.48285E-04
  0.17200E+09    62   0.48285E-04
  0.17300E+09    62   0.48314E-04
  0.17400E+09    62   0.48344E-04
  0.17500E+09    62   0.48412E-04
  0.17600E+09    59   0.48412E-04
  0.17700E+09    60   0.48660E-04
  0.17800E+09    61   0.48686E-04
  0.17900E+09    61   0.48860E-04
  0.18000E+09    61   0.48860E-04
  0.18100E+09    59   0.49443E-04
  0.18200E+09    60   0.49548E-04
  0.18300E+09    60   0.49615E-04
  0.18400E+09    57   0.49615E-04
  0.18500E+09    57   0.49897E-04
  0.18600E+09    57   0.50179E-04
  0.18700E+09    58   0.50214E-04
  0.18800E+09    58   0.50214E-04
  0.18900E+09    58   0.50903E-04
  0.19000E+09    58   0.51896E-04
  0.19100E+09    58   0.51969E-04
  0.19200E+09    56   0.51969E-04
  0.19300E+09    54   0.52015E-04
  0.19400E+09    55   0.52039E-04
  0.19500E+09    54   0.52039E-04
  0.19600E+09    52   0.52536E-04
  0.19700E+09    53   0.52555E-04
  0.19800E+09    53   0.52555E-04
  0.19900E+09    52   0.52651E-04
  0.20000E+09    52   0.53148E-04
  0.20100E+09    50   0.53148E-04
  0.20200E+09    50   0.54645E-04
  0.20300E+09    51   0.54741E-04
  0.20400E+09    50   0.54741E-04
  0.20500E+09    51   0.54768E-04
  0.20600E+09    50   0.54803E-04
  0.20700E+09    50   0.54882E-04
  0.20800E+09    50   0.54882E-04
  0.20900E+09    51   0.54970E-04
  0.21000E+09    51   0.55552E-04
  0.21100E+09    51   0.55552E-04
  0.21200E+09    52   0.55709E-04
  0.21300E+09    52   0.55733E-04
  0.21400E+09    51   0.55733E-04
  0.21500E+09    52   0.55928E-04
  0.21600E+09    52   0.56751E-04
  0.21700E+09    51   0.56751E-04
  0.21800E+09    52   0.57743E-04
  0.21900E+09    53   0.57769E-04
  0.22000E+09    53   0.57769E-04
  0.22100E+09    54   0.57815E-04
  0.22200E+09    55   0.57852E-04
  0.22300E+09    56   0.57957E-04
  0.22400E+09    56   0.57957E-04
  0.22500E+09    56   0.58052E-04
  0.22600E+09    56   0.60453E-04
  0.22700E+09    56   0.60453E-04
  0.22800E+09    57   0.60495E-04
  0.22900E+09    57   0.60569E-04
  0.23000E+09    54   0.60569E-04
  0.23100E+09    55   0.60938E-04
  0.23200E+09    55   0.61026E-04
  0.23300E+09    54   0.61026E-04
  0.23400E+09    55   0.61065E-04
  0.23500E+09    52   0.61091E-04
  0.23600E+09    52   0.61091E-04
  0.23700E+09    52   0.61124E-04
  0.23800E+09    53   0.62335E-04
  0.23900E+09    53   0.62335E-04
  0.24000E+09    54   0.62397E-04
  0.24100E+09    53   0.62434E-04
  0.24200E+09    54   0.62861E-04
  0.24300E+09    54   0.62861E-04
  0.24400E+09    55   0.62888E-04
  0.24500E+09    54   0.63004E-04
  0.24600E+09    52   0.63004E-04
  0.24700E+09    53   0.63038E-04
  0.24800E+09    52   0.64516E-04
  0.24900E+09    52   0.64516E-04
  0.25000E+09    53   0.65727E-04
  0.25100E+09    53   0.66049E-04
  0.25200E+09    51   0.66049E-04
  0.25300E+09    52   0.67929E-04
  0.25400E+09    53   0.68426E-04
  0.25500E+09    53   0.68426E-04
  0.25600E+09    54   0.68646E-04
  0.25700E+09    53   0.68802E-04
  0.25800E+09    53   0.68821E-04
  0.25900E+09    53   0.68821E-04
  0.26000E+09    52   0.68840E-04
  0.26100E+09    53   0.69122E-04
  0.26200E+09    51   0.69122E-04
  0.26300E+09    51   0.69146E-04
  0.26400E+09    51   0.69192E-04
