 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.12419E-08   0.10013E-05
  0.95173E+08   0.11237E-08   0.92719E-06
  0.19035E+09   0.10168E-08   0.85854E-06
  0.28552E+09   0.92005E-09   0.79497E-06
  0.38069E+09   0.83249E-09   0.73611E-06
  0.47587E+09   0.75327E-09   0.68161E-06
  0.57104E+09   0.68159E-09   0.63115E-06
  0.66621E+09   0.61673E-09   0.58442E-06
  0.76139E+09   0.55804E-09   0.54115E-06
  0.85656E+09   0.50493E-09   0.50108E-06
  0.95173E+09   0.45688E-09   0.46398E-06
  0.10469E+10   0.41340E-09   0.42963E-06
  0.11421E+10   0.37406E-09   0.39782E-06
  0.12373E+10   0.33847E-09   0.36837E-06
  0.13324E+10   0.30626E-09   0.34109E-06
  0.14276E+10   0.27711E-09   0.31584E-06
  0.15228E+10   0.25074E-09   0.29245E-06
  0.16179E+10   0.22688E-09   0.27080E-06
  0.17131E+10   0.20529E-09   0.25075E-06
  0.18083E+10   0.18575E-09   0.23219E-06
  0.19035E+10   0.16808E-09   0.21500E-06
  0.19986E+10   0.15208E-09   0.19908E-06
  0.20938E+10   0.13761E-09   0.18434E-06
  0.21890E+10   0.12451E-09   0.17069E-06
  0.22842E+10   0.11267E-09   0.15805E-06
  0.23793E+10   0.10194E-09   0.14635E-06
  0.24745E+10   0.92243E-10   0.13551E-06
  0.25697E+10   0.83465E-10   0.12548E-06
  0.26649E+10   0.75522E-10   0.11619E-06
  0.27600E+10   0.68335E-10   0.10759E-06
  0.28552E+10   0.61832E-10   0.99622E-07
  0.29504E+10   0.55948E-10   0.92246E-07
  0.30455E+10   0.50624E-10   0.85417E-07
  0.31407E+10   0.45806E-10   0.79092E-07
  0.32359E+10   0.41447E-10   0.73236E-07
  0.33311E+10   0.37503E-10   0.67814E-07
  0.34262E+10   0.33934E-10   0.62793E-07
  0.35214E+10   0.30705E-10   0.58144E-07
  0.36166E+10   0.27783E-10   0.53839E-07
  0.37118E+10   0.25139E-10   0.49853E-07
  0.38069E+10   0.22747E-10   0.46162E-07
  0.39021E+10   0.20582E-10   0.42744E-07
  0.39973E+10   0.18624E-10   0.39579E-07
  0.40925E+10   0.16851E-10   0.36649E-07
  0.41876E+10   0.15248E-10   0.33936E-07
  0.42828E+10   0.13797E-10   0.31423E-07
  0.43780E+10   0.12484E-10   0.29096E-07
  0.44731E+10   0.11296E-10   0.26942E-07
  0.45683E+10   0.10221E-10   0.24947E-07
  0.46635E+10   0.92482E-11   0.23100E-07
  0.47587E+10   0.83681E-11   0.21390E-07
  0.48538E+10   0.75718E-11   0.19806E-07
  0.49490E+10   0.68512E-11   0.18340E-07
  0.50442E+10   0.61992E-11   0.16982E-07
  0.51394E+10   0.56093E-11   0.15725E-07
  0.52345E+10   0.50755E-11   0.14560E-07
  0.53297E+10   0.45925E-11   0.13482E-07
  0.54249E+10   0.41555E-11   0.12484E-07
  0.55201E+10   0.37600E-11   0.11560E-07
  0.56152E+10   0.34022E-11   0.10704E-07
  0.57104E+10   0.30785E-11   0.99115E-08
  0.58056E+10   0.27855E-11   0.91777E-08
  0.59007E+10   0.25204E-11   0.84982E-08
  0.59959E+10   0.22806E-11   0.78690E-08
  0.60911E+10   0.20635E-11   0.72863E-08
  0.61863E+10   0.18672E-11   0.67469E-08
  0.62814E+10   0.16895E-11   0.62473E-08
  0.63766E+10   0.15287E-11   0.57848E-08
  0.64718E+10   0.13832E-11   0.53565E-08
  0.65670E+10   0.12516E-11   0.49599E-08
  0.66621E+10   0.11325E-11   0.45927E-08
  0.67573E+10   0.10247E-11   0.42526E-08
  0.68525E+10   0.92721E-12   0.39378E-08
  0.69477E+10   0.83898E-12   0.36462E-08
  0.70428E+10   0.75914E-12   0.33763E-08
  0.71380E+10   0.68690E-12   0.31263E-08
  0.72332E+10   0.62153E-12   0.28948E-08
  0.73283E+10   0.56238E-12   0.26805E-08
  0.74235E+10   0.50887E-12   0.24820E-08
  0.75187E+10   0.46044E-12   0.22983E-08
  0.76139E+10   0.41662E-12   0.21281E-08
  0.77090E+10   0.37698E-12   0.19705E-08
  0.78042E+10   0.34110E-12   0.18246E-08
  0.78994E+10   0.30864E-12   0.16896E-08
  0.79946E+10   0.27927E-12   0.15645E-08
  0.80897E+10   0.25270E-12   0.14486E-08
  0.81849E+10   0.22865E-12   0.13414E-08
  0.82801E+10   0.20689E-12   0.12421E-08
  0.83753E+10   0.18720E-12   0.11501E-08
  0.84704E+10   0.16939E-12   0.10649E-08
  0.85656E+10   0.15327E-12   0.98610E-09
  0.86608E+10   0.13868E-12   0.91309E-09
  0.87559E+10   0.12548E-12   0.84549E-09
  0.88511E+10   0.11354E-12   0.78289E-09
  0.89463E+10   0.10274E-12   0.72492E-09
  0.90415E+10   0.92961E-13   0.67125E-09
  0.91366E+10   0.84115E-13   0.62155E-09
  0.92318E+10   0.76110E-13   0.57553E-09
  0.93270E+10   0.68868E-13   0.53292E-09
  0.94222E+10   0.62314E-13   0.49347E-09
  0.95173E+10   0.56384E-13   0.45693E-09
  0.96125E+10   0.51018E-13   0.42310E-09
  0.97077E+10   0.46163E-13   0.39177E-09
  0.98029E+10   0.41770E-13   0.36277E-09
  0.98980E+10   0.37795E-13   0.33591E-09
