 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.12419E-08   0.76249E-05
  0.95173E+08   0.11237E-08   0.70604E-05
  0.19035E+09   0.10168E-08   0.65376E-05
  0.28552E+09   0.92005E-09   0.60536E-05
  0.38069E+09   0.83249E-09   0.56054E-05
  0.47587E+09   0.75327E-09   0.51904E-05
  0.57104E+09   0.68159E-09   0.48061E-05
  0.66621E+09   0.61673E-09   0.44502E-05
  0.76139E+09   0.55804E-09   0.41207E-05
  0.85656E+09   0.50493E-09   0.38157E-05
  0.95173E+09   0.45688E-09   0.35331E-05
  0.10469E+10   0.41340E-09   0.32716E-05
  0.11421E+10   0.37406E-09   0.30293E-05
  0.12373E+10   0.33847E-09   0.28050E-05
  0.13324E+10   0.30626E-09   0.25974E-05
  0.14276E+10   0.27711E-09   0.24051E-05
  0.15228E+10   0.25074E-09   0.22270E-05
  0.16179E+10   0.22688E-09   0.20621E-05
  0.17131E+10   0.20529E-09   0.19094E-05
  0.18083E+10   0.18575E-09   0.17681E-05
  0.19035E+10   0.16808E-09   0.16372E-05
  0.19986E+10   0.15208E-09   0.15159E-05
  0.20938E+10   0.13761E-09   0.14037E-05
  0.21890E+10   0.12451E-09   0.12998E-05
  0.22842E+10   0.11267E-09   0.12035E-05
  0.23793E+10   0.10194E-09   0.11144E-05
  0.24745E+10   0.92243E-10   0.10319E-05
  0.25697E+10   0.83465E-10   0.95552E-06
  0.26649E+10   0.75522E-10   0.88477E-06
  0.27600E+10   0.68335E-10   0.81926E-06
  0.28552E+10   0.61832E-10   0.75861E-06
  0.29504E+10   0.55948E-10   0.70244E-06
  0.30455E+10   0.50624E-10   0.65043E-06
  0.31407E+10   0.45806E-10   0.60228E-06
  0.32359E+10   0.41447E-10   0.55768E-06
  0.33311E+10   0.37503E-10   0.51639E-06
  0.34262E+10   0.33934E-10   0.47816E-06
  0.35214E+10   0.30705E-10   0.44276E-06
  0.36166E+10   0.27783E-10   0.40998E-06
  0.37118E+10   0.25139E-10   0.37962E-06
  0.38069E+10   0.22747E-10   0.35152E-06
  0.39021E+10   0.20582E-10   0.32549E-06
  0.39973E+10   0.18624E-10   0.30139E-06
  0.40925E+10   0.16851E-10   0.27908E-06
  0.41876E+10   0.15248E-10   0.25841E-06
  0.42828E+10   0.13797E-10   0.23928E-06
  0.43780E+10   0.12484E-10   0.22156E-06
  0.44731E+10   0.11296E-10   0.20516E-06
  0.45683E+10   0.10221E-10   0.18997E-06
  0.46635E+10   0.92482E-11   0.17591E-06
  0.47587E+10   0.83681E-11   0.16288E-06
  0.48538E+10   0.75718E-11   0.15082E-06
  0.49490E+10   0.68512E-11   0.13966E-06
  0.50442E+10   0.61992E-11   0.12932E-06
  0.51394E+10   0.56093E-11   0.11974E-06
  0.52345E+10   0.50755E-11   0.11088E-06
  0.53297E+10   0.45925E-11   0.10267E-06
  0.54249E+10   0.41555E-11   0.95065E-07
  0.55201E+10   0.37600E-11   0.88027E-07
  0.56152E+10   0.34022E-11   0.81509E-07
  0.57104E+10   0.30785E-11   0.75474E-07
  0.58056E+10   0.27855E-11   0.69886E-07
  0.59007E+10   0.25204E-11   0.64712E-07
  0.59959E+10   0.22806E-11   0.59921E-07
  0.60911E+10   0.20636E-11   0.55484E-07
  0.61863E+10   0.18672E-11   0.51376E-07
  0.62814E+10   0.16895E-11   0.47573E-07
  0.63766E+10   0.15287E-11   0.44050E-07
  0.64718E+10   0.13832E-11   0.40789E-07
  0.65670E+10   0.12516E-11   0.37769E-07
  0.66621E+10   0.11325E-11   0.34973E-07
  0.67573E+10   0.10247E-11   0.32383E-07
  0.68525E+10   0.92721E-12   0.29986E-07
  0.69477E+10   0.83898E-12   0.27765E-07
  0.70428E+10   0.75914E-12   0.25710E-07
  0.71380E+10   0.68690E-12   0.23806E-07
  0.72332E+10   0.62153E-12   0.22044E-07
  0.73283E+10   0.56238E-12   0.20412E-07
  0.74235E+10   0.50887E-12   0.18900E-07
  0.75187E+10   0.46044E-12   0.17501E-07
  0.76139E+10   0.41662E-12   0.16205E-07
  0.77090E+10   0.37698E-12   0.15005E-07
  0.78042E+10   0.34110E-12   0.13894E-07
  0.78994E+10   0.30864E-12   0.12866E-07
  0.79946E+10   0.27927E-12   0.11913E-07
  0.80897E+10   0.25270E-12   0.11031E-07
  0.81849E+10   0.22865E-12   0.10214E-07
  0.82801E+10   0.20689E-12   0.94581E-08
  0.83753E+10   0.18720E-12   0.87578E-08
  0.84704E+10   0.16939E-12   0.81094E-08
  0.85656E+10   0.15327E-12   0.75090E-08
  0.86608E+10   0.13868E-12   0.69530E-08
  0.87559E+10   0.12548E-12   0.64382E-08
  0.88511E+10   0.11354E-12   0.59616E-08
  0.89463E+10   0.10274E-12   0.55202E-08
  0.90415E+10   0.92962E-13   0.51115E-08
  0.91366E+10   0.84115E-13   0.47330E-08
  0.92318E+10   0.76110E-13   0.43826E-08
  0.93270E+10   0.68868E-13   0.40581E-08
  0.94222E+10   0.62314E-13   0.37577E-08
  0.95173E+10   0.56384E-13   0.34794E-08
  0.96125E+10   0.51018E-13   0.32218E-08
  0.97077E+10   0.46163E-13   0.29833E-08
  0.98029E+10   0.41770E-13   0.27624E-08
  0.98980E+10   0.37795E-13   0.25579E-08
  0.99932E+10   0.34199E-13   0.23685E-08
