 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.20740E-08   0.34516E-06
  0.95173E+08   0.18767E-08   0.31960E-06
  0.19035E+09   0.16981E-08   0.29594E-06
  0.28552E+09   0.15365E-08   0.27403E-06
  0.38069E+09   0.13903E-08   0.25374E-06
  0.47587E+09   0.12580E-08   0.23495E-06
  0.57104E+09   0.11383E-08   0.21756E-06
  0.66621E+09   0.10299E-08   0.20145E-06
  0.76139E+09   0.93192E-09   0.18654E-06
  0.85656E+09   0.84324E-09   0.17273E-06
  0.95173E+09   0.76299E-09   0.15994E-06
  0.10469E+10   0.69038E-09   0.14810E-06
  0.11421E+10   0.62469E-09   0.13713E-06
  0.12373E+10   0.56524E-09   0.12698E-06
  0.13324E+10   0.51145E-09   0.11758E-06
  0.14276E+10   0.46278E-09   0.10887E-06
  0.15228E+10   0.41874E-09   0.10081E-06
  0.16179E+10   0.37889E-09   0.93346E-07
  0.17131E+10   0.34283E-09   0.86435E-07
  0.18083E+10   0.31021E-09   0.80036E-07
  0.19035E+10   0.28069E-09   0.74110E-07
  0.19986E+10   0.25398E-09   0.68623E-07
  0.20938E+10   0.22981E-09   0.63542E-07
  0.21890E+10   0.20794E-09   0.58837E-07
  0.22842E+10   0.18815E-09   0.54481E-07
  0.23793E+10   0.17025E-09   0.50447E-07
  0.24745E+10   0.15405E-09   0.46712E-07
  0.25697E+10   0.13939E-09   0.43254E-07
  0.26649E+10   0.12612E-09   0.40051E-07
  0.27600E+10   0.11412E-09   0.37086E-07
  0.28552E+10   0.10326E-09   0.34340E-07
  0.29504E+10   0.93433E-10   0.31798E-07
  0.30455E+10   0.84542E-10   0.29443E-07
  0.31407E+10   0.76497E-10   0.27263E-07
  0.32359E+10   0.69217E-10   0.25245E-07
  0.33311E+10   0.62630E-10   0.23376E-07
  0.34262E+10   0.56670E-10   0.21645E-07
  0.35214E+10   0.51277E-10   0.20043E-07
  0.36166E+10   0.46398E-10   0.18559E-07
  0.37118E+10   0.41982E-10   0.17185E-07
  0.38069E+10   0.37987E-10   0.15912E-07
  0.39021E+10   0.34372E-10   0.14734E-07
  0.39973E+10   0.31101E-10   0.13643E-07
  0.40925E+10   0.28142E-10   0.12633E-07
  0.41876E+10   0.25464E-10   0.11698E-07
  0.42828E+10   0.23040E-10   0.10832E-07
  0.43780E+10   0.20848E-10   0.10030E-07
  0.44731E+10   0.18864E-10   0.92871E-08
  0.45683E+10   0.17069E-10   0.85995E-08
  0.46635E+10   0.15444E-10   0.79628E-08
  0.47587E+10   0.13975E-10   0.73732E-08
  0.48538E+10   0.12645E-10   0.68273E-08
  0.49490E+10   0.11442E-10   0.63218E-08
  0.50442E+10   0.10353E-10   0.58538E-08
  0.51394E+10   0.93675E-11   0.54204E-08
  0.52345E+10   0.84761E-11   0.50191E-08
  0.53297E+10   0.76695E-11   0.46475E-08
  0.54249E+10   0.69396E-11   0.43034E-08
  0.55201E+10   0.62793E-11   0.39847E-08
  0.56152E+10   0.56817E-11   0.36897E-08
  0.57104E+10   0.51410E-11   0.34165E-08
  0.58056E+10   0.46518E-11   0.31636E-08
  0.59007E+10   0.42091E-11   0.29294E-08
  0.59959E+10   0.38086E-11   0.27125E-08
  0.60911E+10   0.34461E-11   0.25116E-08
  0.61863E+10   0.31182E-11   0.23257E-08
  0.62814E+10   0.28215E-11   0.21535E-08
  0.63766E+10   0.25530E-11   0.19940E-08
  0.64718E+10   0.23100E-11   0.18464E-08
  0.65670E+10   0.20902E-11   0.17097E-08
  0.66621E+10   0.18913E-11   0.15831E-08
  0.67573E+10   0.17113E-11   0.14659E-08
  0.68525E+10   0.15484E-11   0.13574E-08
  0.69477E+10   0.14011E-11   0.12569E-08
  0.70428E+10   0.12678E-11   0.11638E-08
  0.71380E+10   0.11471E-11   0.10776E-08
  0.72332E+10   0.10380E-11   0.99786E-09
  0.73283E+10   0.93918E-12   0.92398E-09
  0.74235E+10   0.84981E-12   0.85557E-09
  0.75187E+10   0.76894E-12   0.79222E-09
  0.76139E+10   0.69576E-12   0.73357E-09
  0.77090E+10   0.62955E-12   0.67926E-09
  0.78042E+10   0.56964E-12   0.62897E-09
  0.78994E+10   0.51543E-12   0.58240E-09
  0.79946E+10   0.46638E-12   0.53928E-09
  0.80897E+10   0.42200E-12   0.49935E-09
  0.81849E+10   0.38184E-12   0.46238E-09
  0.82801E+10   0.34551E-12   0.42814E-09
  0.83753E+10   0.31263E-12   0.39645E-09
  0.84704E+10   0.28288E-12   0.36709E-09
  0.85656E+10   0.25596E-12   0.33991E-09
  0.86608E+10   0.23160E-12   0.31475E-09
  0.87559E+10   0.20956E-12   0.29144E-09
  0.88511E+10   0.18962E-12   0.26987E-09
  0.89463E+10   0.17157E-12   0.24988E-09
  0.90415E+10   0.15525E-12   0.23138E-09
  0.91366E+10   0.14047E-12   0.21425E-09
  0.92318E+10   0.12710E-12   0.19839E-09
  0.93270E+10   0.11501E-12   0.18370E-09
  0.94222E+10   0.10406E-12   0.17010E-09
  0.95173E+10   0.94161E-13   0.15751E-09
  0.96125E+10   0.85201E-13   0.14584E-09
  0.97077E+10   0.77093E-13   0.13505E-09
  0.98029E+10   0.69756E-13   0.12505E-09
  0.98980E+10   0.63118E-13   0.11579E-09
  0.99932E+10   0.57112E-13   0.10722E-09
